week_start,week_end,cases
2026-01-04,2026-01-10,210
2026-01-11,2026-01-17,296
2026-01-18,2026-01-24,171
2026-01-25,2026-01-31,170
2026-02-01,2026-02-07,89
2026-02-08,2026-02-14,127
2026-02-15,2026-02-21,100
2026-02-22,2026-02-28,127
2026-03-01,2026-03-07,114
2026-03-08,2026-03-14,94
2026-03-15,2026-03-21,93
2026-03-22,2026-03-28,112
2026-03-29,2026-04-04,41
2026-04-05,2026-04-11,34
2026-04-12,2026-04-18,42
2026-04-19,2026-04-25,37
2026-04-26,2026-05-02,38
2026-05-03,2026-05-09,37
2026-05-10,2026-05-16,49
2026-05-17,2026-05-23,29
2026-05-24,2026-05-30,49
2026-05-31,2026-06-06,56
2026-06-07,2026-06-13,33
2026-06-14,2026-06-20,28
2026-06-21,2026-06-27,24
2026-06-28,2026-07-04,29
2026-07-05,2026-07-11,34
2026-07-12,2026-07-18,71
2026-07-19,2026-07-25,44
2026-07-26,2026-08-01,121
2026-08-02,2026-08-08,105
2026-08-09,2026-08-15,174
2026-08-16,2026-08-22,163
2026-08-23,2026-08-29,216
2026-08-30,2026-09-05,158
2026-09-06,2026-09-12,132
2026-09-13,2026-09-19,24
