station,day,max_temp_f
MDW,2026-07-18,91.0
MDW,2026-07-19,79.0
MDW,2026-07-20,82.0
MDW,2026-07-21,86.0
MDW,2026-07-22,73.0
MDW,2026-07-23,77.0
MDW,2026-07-24,79.0
MDW,2026-07-25,79.0
MDW,2026-07-26,91.0
MDW,2026-07-27,88.0
MDW,2026-07-28,79.0
MDW,2026-07-29,80.0
MDW,2026-07-30,86.0
MDW,2026-07-31,82.0
MDW,2026-08-01,76.0
MDW,2026-08-02,76.0
MDW,2026-08-03,82.0
MDW,2026-08-04,86.0
MDW,2026-08-05,83.0
MDW,2026-08-06,80.0
MDW,2026-08-07,86.0
MDW,2026-08-08,84.0
MDW,2026-08-09,86.0
MDW,2026-08-10,88.0
MDW,2026-08-11,80.0
MDW,2026-08-12,83.0
MDW,2026-08-13,77.0
MDW,2026-08-14,80.0
MDW,2026-08-15,81.0
MDW,2026-08-16,86.0
MDW,2026-08-17,78.0
MDW,2026-08-18,81.0
MDW,2026-08-19,80.0
MDW,2026-08-20,78.0
MDW,2026-08-21,80.0
MDW,2026-08-22,82.0
MDW,2026-08-23,76.0
MDW,2026-08-24,79.0
MDW,2026-08-25,81.0
MDW,2026-08-26,85.0
MDW,2026-08-27,81.0
MDW,2026-08-28,84.0
MDW,2026-08-29,82.0
MDW,2026-08-30,81.0
MDW,2026-08-31,91.0
MDW,2026-09-01,94.0
MDW,2026-09-02,96.0
MDW,2026-09-03,92.0
MDW,2026-09-04,93.0
MDW,2026-09-05,83.0
MDW,2026-09-06,79.0
MDW,2026-09-07,80.0
MDW,2026-09-08,87.0
MDW,2026-09-09,80.0
MDW,2026-09-10,76.0
MDW,2026-09-11,81.0
MDW,2026-09-12,88.0
MDW,2026-09-13,75.0
MDW,2026-09-14,71.0
MDW,2026-09-15,85.0
