station,day,max_temp_f
NYC,2026-08-16,80.0
NYC,2026-08-17,81.0
NYC,2026-08-18,86.0
NYC,2026-08-19,85.0
NYC,2026-08-20,84.0
NYC,2026-08-21,79.0
NYC,2026-08-22,77.0
NYC,2026-08-23,80.0
NYC,2026-08-24,79.0
NYC,2026-08-25,78.0
NYC,2026-08-26,81.0
NYC,2026-08-27,77.0
NYC,2026-08-28,84.0
NYC,2026-08-29,76.0
NYC,2026-08-30,79.0
NYC,2026-08-31,78.0
NYC,2026-09-01,82.0
NYC,2026-09-02,71.0
NYC,2026-09-03,84.0
NYC,2026-09-04,84.0
NYC,2026-09-05,79.0
NYC,2026-09-06,76.0
NYC,2026-09-07,78.0
NYC,2026-09-08,80.0
NYC,2026-09-09,82.0
NYC,2026-09-10,84.0
NYC,2026-09-11,79.0
NYC,2026-09-12,78.0
NYC,2026-09-13,79.0
NYC,2026-09-14,75.0
NYC,2026-09-15,71.0
